"Earliest of symptom onset, test or reported date for cases; date of death for deaths",Sporadic Cases,Community Cases,Institutional Cases,Cumulative Cases,Cumulative Deaths
2020-02-10 0:00,1,0,0,1,0
2020-02-11 0:00,0,0,0,1,0
2020-02-12 0:00,0,0,0,1,0
2020-02-13 0:00,0,0,0,1,0
2020-02-14 0:00,0,0,0,1,0
2020-02-15 0:00,0,0,0,1,0
2020-02-16 0:00,0,0,0,1,0
2020-02-17 0:00,0,0,0,1,0
2020-02-18 0:00,0,0,0,1,0
2020-02-19 0:00,0,0,0,1,0
2020-02-20 0:00,1,0,0,2,0
2020-02-21 0:00,0,0,0,2,0
2020-02-22 0:00,1,0,0,3,0
2020-02-23 0:00,1,0,0,4,0
2020-02-24 0:00,1,0,0,5,0
2020-02-25 0:00,0,0,0,5,0
2020-02-26 0:00,0,0,0,5,0
2020-02-27 0:00,0,0,0,5,0
2020-02-28 0:00,0,0,0,5,0
2020-02-29 0:00,0,0,0,5,0
2020-03-01 0:00,2,0,0,7,0
2020-03-02 0:00,1,2,0,10,0
2020-03-03 0:00,1,0,0,11,0
2020-03-04 0:00,1,0,0,12,0
2020-03-05 0:00,4,2,0,18,0
2020-03-06 0:00,4,0,1,23,0
2020-03-07 0:00,4,0,0,27,0
2020-03-08 0:00,8,1,0,36,0
2020-03-09 0:00,9,0,0,45,0
2020-03-10 0:00,6,1,0,52,0
2020-03-11 0:00,9,0,0,61,0
2020-03-12 0:00,13,1,0,75,0
2020-03-13 0:00,18,2,2,97,0
2020-03-14 0:00,16,1,1,115,0
2020-03-15 0:00,26,1,0,142,0
2020-03-16 0:00,15,0,0,157,0
2020-03-17 0:00,22,1,0,180,0
2020-03-18 0:00,16,0,0,196,0
2020-03-19 0:00,25,0,0,221,0
2020-03-20 0:00,20,1,1,243,0
2020-03-21 0:00,18,0,2,263,0
2020-03-22 0:00,25,0,1,289,0
2020-03-23 0:00,19,2,0,310,0
2020-03-24 0:00,13,1,3,327,1
2020-03-25 0:00,22,0,1,350,1
2020-03-26 0:00,10,1,3,364,1
2020-03-27 0:00,12,3,2,381,1
2020-03-28 0:00,21,1,1,404,2
2020-03-29 0:00,10,5,4,423,2
2020-03-30 0:00,15,8,2,448,3
2020-03-31 0:00,12,2,3,465,3
2020-04-01 0:00,16,7,4,492,3
2020-04-02 0:00,7,6,4,509,5
2020-04-03 0:00,19,4,4,536,5
2020-04-04 0:00,6,4,7,553,6
2020-04-05 0:00,13,6,8,580,8
2020-04-06 0:00,9,3,7,599,9
2020-04-07 0:00,10,2,11,622,9
2020-04-08 0:00,8,2,10,642,11
2020-04-09 0:00,13,3,20,678,11
2020-04-10 0:00,13,1,20,712,11
2020-04-11 0:00,8,2,34,756,11
2020-04-12 0:00,13,1,18,788,14
2020-04-13 0:00,5,0,19,812,17
2020-04-14 0:00,7,0,26,845,19
2020-04-15 0:00,9,2,18,874,24
2020-04-16 0:00,13,2,55,944,24
2020-04-17 0:00,6,0,26,976,26
2020-04-18 0:00,9,0,31,1016,31
2020-04-19 0:00,4,0,13,1033,35
2020-04-20 0:00,13,1,47,1094,39
2020-04-21 0:00,10,0,26,1130,47
2020-04-22 0:00,9,1,31,1171,54
2020-04-23 0:00,10,0,35,1216,57
2020-04-24 0:00,5,0,36,1257,65
2020-04-25 0:00,6,0,95,1358,75
2020-04-26 0:00,13,0,41,1412,84
2020-04-27 0:00,7,0,54,1473,91
2020-04-28 0:00,7,0,14,1494,100
2020-04-29 0:00,8,0,17,1519,107
2020-04-30 0:00,10,0,10,1539,119
2020-05-01 0:00,7,0,16,1562,131
2020-05-02 0:00,6,0,15,1583,135
2020-05-03 0:00,6,0,13,1602,143
2020-05-04 0:00,7,0,11,1620,151
2020-05-05 0:00,1,0,24,1645,154
2020-05-06 0:00,5,0,11,1661,160
2020-05-07 0:00,7,0,16,1684,166
2020-05-08 0:00,5,0,8,1697,172
2020-05-09 0:00,5,0,12,1714,177
2020-05-10 0:00,3,0,7,1724,183
2020-05-11 0:00,6,0,14,1744,186
2020-05-12 0:00,6,0,17,1767,189
2020-05-13 0:00,6,0,15,1788,192
2020-05-14 0:00,4,0,10,1802,196
2020-05-15 0:00,8,0,12,1822,198
2020-05-16 0:00,10,0,6,1838,204
2020-05-17 0:00,3,0,9,1850,207
2020-05-18 0:00,7,0,8,1865,209
2020-05-19 0:00,4,0,7,1876,215
2020-05-20 0:00,6,0,9,1891,221
2020-05-21 0:00,8,0,1,1900,228
2020-05-22 0:00,4,0,3,1907,230
2020-05-23 0:00,5,1,3,1916,236
2020-05-24 0:00,6,0,3,1925,236
2020-05-25 0:00,6,1,7,1939,239
2020-05-26 0:00,4,0,2,1945,243
2020-05-27 0:00,4,0,1,1950,243
2020-05-28 0:00,2,0,2,1954,244
2020-05-29 0:00,4,0,3,1961,246
2020-05-30 0:00,1,1,1,1964,247
2020-05-31 0:00,3,0,1,1968,248
2020-06-01 0:00,6,0,5,1979,249
2020-06-02 0:00,2,0,1,1982,249
2020-06-03 0:00,3,0,7,1992,250
2020-06-04 0:00,5,0,2,1999,253
2020-06-05 0:00,3,0,1,2003,255
2020-06-06 0:00,3,0,0,2006,257
2020-06-07 0:00,1,0,0,2007,258
2020-06-08 0:00,3,0,0,2010,258
2020-06-09 0:00,7,0,3,2020,259
2020-06-10 0:00,6,0,4,2030,259
2020-06-11 0:00,5,0,2,2037,259
2020-06-12 0:00,2,0,2,2041,259
2020-06-13 0:00,0,0,3,2044,259
2020-06-14 0:00,2,0,1,2047,259
2020-06-15 0:00,4,0,2,2053,260
2020-06-16 0:00,3,0,1,2057,260
2020-06-17 0:00,3,0,0,2060,260
2020-06-18 0:00,2,0,0,2062,260
2020-06-19 0:00,3,0,0,2065,260
2020-06-20 0:00,6,0,0,2071,261
2020-06-21 0:00,6,0,0,2077,261
2020-06-22 0:00,1,0,1,2079,261
2020-06-23 0:00,9,0,0,2088,262
2020-06-24 0:00,2,0,0,2090,262
2020-06-25 0:00,6,0,0,2096,263
2020-06-26 0:00,4,0,0,2100,263
2020-06-27 0:00,3,0,0,2103,263
2020-06-28 0:00,2,0,0,2105,263
2020-06-29 0:00,4,0,0,2109,263
2020-06-30 0:00,3,0,0,2112,263
2020-07-01 0:00,2,0,0,2114,263
2020-07-02 0:00,5,0,1,2120,263
2020-07-03 0:00,8,0,0,2128,263
2020-07-04 0:00,3,0,0,2131,263
2020-07-05 0:00,2,0,0,2133,263
2020-07-06 0:00,6,0,1,2140,263
2020-07-07 0:00,6,0,1,2147,263
2020-07-08 0:00,11,0,1,2159,263
2020-07-09 0:00,7,0,0,2166,263
2020-07-10 0:00,16,0,0,2182,263
2020-07-11 0:00,8,0,0,2190,263
2020-07-12 0:00,21,0,2,2213,263
2020-07-13 0:00,23,0,2,2238,263
2020-07-14 0:00,17,0,2,2257,263
2020-07-15 0:00,21,0,0,2278,263
2020-07-16 0:00,20,0,2,2300,263
2020-07-17 0:00,29,0,1,2330,263
2020-07-18 0:00,24,0,2,2356,263
2020-07-19 0:00,18,0,0,2374,263
2020-07-20 0:00,27,0,3,2404,263
2020-07-21 0:00,21,0,1,2426,263
2020-07-22 0:00,24,0,4,2454,263
2020-07-23 0:00,17,0,2,2473,263
2020-07-24 0:00,18,0,5,2496,263
2020-07-25 0:00,10,0,2,2508,263
2020-07-26 0:00,7,0,1,2516,263
2020-07-27 0:00,13,0,2,2531,264
2020-07-28 0:00,17,0,3,2551,264
2020-07-29 0:00,11,2,2,2566,264
2020-07-30 0:00,18,1,1,2586,264
2020-07-31 0:00,11,0,1,2598,264
2020-08-01 0:00,18,0,0,2616,264
2020-08-02 0:00,8,0,1,2625,264
2020-08-03 0:00,7,0,2,2634,264
2020-08-04 0:00,11,0,1,2646,264
2020-08-05 0:00,10,1,0,2657,264
2020-08-06 0:00,10,0,0,2667,264
2020-08-07 0:00,10,0,3,2680,264
2020-08-08 0:00,4,1,1,2686,264
2020-08-09 0:00,4,0,1,2691,264
2020-08-10 0:00,10,2,0,2703,264
2020-08-11 0:00,10,2,1,2716,264
2020-08-12 0:00,4,3,0,2723,264
2020-08-13 0:00,22,0,0,2745,264
2020-08-14 0:00,6,4,1,2756,264
2020-08-15 0:00,4,0,0,2760,264
2020-08-16 0:00,3,0,0,2763,264
2020-08-17 0:00,18,1,5,2787,265
2020-08-18 0:00,23,1,1,2812,265
2020-08-19 0:00,16,3,5,2836,265
2020-08-20 0:00,15,1,0,2852,266
2020-08-21 0:00,17,3,1,2873,266
2020-08-22 0:00,16,1,0,2890,266
2020-08-23 0:00,17,0,1,2908,266
2020-08-24 0:00,16,2,1,2927,266
2020-08-25 0:00,13,0,1,2941,266
2020-08-26 0:00,10,1,4,2956,266
2020-08-27 0:00,10,1,3,2970,266
2020-08-28 0:00,19,0,6,2995,266
2020-08-29 0:00,16,0,4,3015,266
2020-08-30 0:00,11,0,9,3035,266
2020-08-31 0:00,15,1,2,3053,267
2020-09-01 0:00,24,1,0,3078,267
2020-09-02 0:00,24,1,8,3111,267
2020-09-03 0:00,13,1,6,3131,267
2020-09-04 0:00,18,0,3,3152,267
2020-09-05 0:00,12,0,10,3174,267
2020-09-06 0:00,14,1,2,3191,267
2020-09-07 0:00,25,1,2,3219,267
2020-09-08 0:00,24,0,16,3259,267
2020-09-09 0:00,21,0,4,3284,267
2020-09-10 0:00,52,0,3,3339,267
2020-09-11 0:00,27,0,0,3366,267
2020-09-12 0:00,11,0,0,3377,268
2020-09-13 0:00,6,0,2,3385,270
2020-09-14 0:00,2,0,0,3387,272
